sample_ID,subSample_ID,project,subsample_Depth,date_Taken,quadrant,bed_ID,o_or_I,total_Sample_Depth,pH_water,pH_salt,conductivity_Micromhos,percent_Nitrogen,percent_Carbon,cN_ratio,Rep_Percent_Nit,Rep_Percent_Carb,Rep_CN_ratio,ammonia_ppb,nitrate_ppb,respiration_microlitersPerTwentyGrams,Column1,repDayOf_Respiration,repFull_Respiration,,,,,,,,,,,,,,
RS-O-1,RS-O-1-5,1,100-150,10/13/23,RS,outside,O,1,4.93,3.95,11,,,,,,,6.144,0.4348,,,,,,,,,,,,,,,,,,
RS-I-2,RS-I-2-1,1,0-15,10/13/23,RS,RS - 11,I,2,7.21,6.6,61.7,0.359,5.27,14.7,,,,8.08344,3.70784,,,,,,,,,,,,,,,,,,
RS-I-2,RS-I-2-2,1,15-30,10/13/23,RS,RS - 11,I,2,6.88,6.48,50.9,0.111,1.57,14.1,,,,7.99088,1.8028,,,,,,,,,,,,,,,,,,
RS-I-2,RS-I-2-3,1,30-60,10/13/23,RS,RS - 11,I,2,5.85,5.85,61.5,,,,,,,6.76032,0.91392,,,,,,,,,,,,,,,,,,
RS-I-1,RS-I-1-1,1,0-15,10/13/23,RS,RS - 7,I,1,7.37,6.7,70.9,0.248,3.6,14.5,,,,8.82408,3.09976,,,,,,,,,,,,,,,,,,
RS-I-1,RS-I-1-2,1,15-30,10/13/23,RS,RS - 7,I,1,6.74,5.66,50.2,0.072,0.9,12.5,,,,6.62944,1.72128,,,,,,,,,,,,,,,,,,
RS-I-1,RS-I-1-3,1,30-60,10/13/23,RS,RS - 7,I,1,5.42,4.63,52.2,,,,,,,7.46408,0.89608,,,,,,,,,,,,,,,,,,
RS-I-1,RS-I-1-4,1,60-100,10/13/23,RS,RS - 7,I,1,5.73,4.21,47,,,,,,,13.74568,3.02208,,,,,,,,,,,,,,,,,,
RS-I-1,RS-I-1-5,1,100-150,10/13/23,RS,RS - 7,I,1,4.34,3.94,85.5,,,,,,,6.48272,27.61576,,,,,,,,,,,,,,,,,,
HN-O-2,HN-O-2-1,1,0-15,10/6/23,HN,outside,O,2,6.9,6.32,59.5,0.167,1.92,11.5,,,,7.2228,4.1904,37151.4737,1857.573685,,,,,,,,,,,,,,,,
HN-O-2,HN-O-2-2,1,15-30,10/6/23,HN,outside,O,2,6.35,5.75,40.5,0.048,0.61,12.7,0.052,0.64,12.3,7.80808,0.72088,14071.8773,703.593865,14181.6821,,,,,,,,,,,,,,,
HN-O-2,HN-O-2-3,1,30-60,10/6/23,HN,outside,O,2,5.11,4.42,41.3,,,,,,,8.0548,0.50144,,,,,,,,,,,,,,,,,,
HN-O-1,HN-O-1-1,1,0-15,10/6/23,HN,outside,O,1,6.91,6.37,81,0.209,2.54,12.2,,,,9.70888,8.88464,35050.0843,1752.504215,,35843.26904,,,,,,,,,,,,,,
HN-O-1,HN-O-1-2,1,15-30,10/6/23,HN,outside,O,1,5.57,5.04,63.2,0.036,0.46,12.8,,,,11.45136,0.70904,8717.52072,435.876036,,,,,,,,,,,,,,,,
HN-O-1,HN-O-1-3,1,30-60,10/6/23,HN,outside,O,1,5.1,4.29,23.7,,,,,,,5.9944,0.44264,,,,,,,,,,,,,,,,,,
HN-O-1,HN-O-1-4,1,60-100,10/6/23,HN,outside,O,1,5.04,4.04,34.5,,,,,,,4.96872,0.60184,,,,,,,,,,,,,,,,,,
HN-O-1,HN-O-1-5,1,100-150,10/6/23,HN,outside,O,1,4.71,4,14.8,,,,,,,5.36744,3.6272,,,,,,,,,,,,,,,,,,
HN-I-2,HN-I-2-1,1,0-15,10/6/23,HN,HN - 24,I,2,7.4,6.8,146.3,0.518,7.28,14.1,0.57,7.42,13,8.05264,18.16936,,,,,,,,,,,,,,,,,,
HN-I-2,HN-I-2-2,1,15-30,10/6/23,HN,HN - 24,I,2,7.3,6.77,141.8,0.199,2.64,13.3,,,,7.5508,7.21144,,,,,,,,,,,,,,,,,,
HN-I-2,HN-I-2-3,1,30-60,10/6/23,HN,HN - 24,I,2,5.98,5.78,135.5,,,,,,,4.80368,7.57696,,,,,,,,,,,,,,,,,,
HN-I-1,HN-I-1-1,1,0-15,10/6/23,HN,HN - 8,I,1,7.57,6.87,134.8,0.454,6.17,13.6,,,,5.73288,6.96272,,,,,,,,,,,,,,,,,,
HN-I-1,HN-I-1-2,1,15-30,10/6/23,HN,HN - 8,I,1,7.48,6.88,99.3,0.148,2.05,13.9,,,,6.09472,9.27664,,,,,,,,,,,,,,,,,,
HN-I-1,HN-I-1-3,1,30-60,10/6/23,HN,HN - 8,I,1,5.88,5.31,105.8,,,,,,,6.5016,5.28904,,,,,,,,,,,,,,,,,,
HN-I-1,HN-I-1-4,1,60-100,10/6/23,HN,HN - 8,I,1,4.57,4.06,61,,,,,,,7.5624,13.05056,,,,,,,,,,,,,,,,,,
HN-I-1,HN-I-1-5,1,100-150,10/6/23,HN,HN - 8,I,1,4.37,3.89,45.9,,,,,,,5.94856,20.88568,,,,,,,,,,,,,,,,,,
HS-O-2,HS-O-2-1,1,0-15,10/6/23,HS,outside,O,2,6.49,5.86,53.2,0.129,1.42,11,,,,11.90464,2.47584,30453.773,1522.68865,,,,,,,,,,,,,,,,
HS-O-2,HS-O-2-2,1,15-30,10/6/23,HS,outside,O,2,6.82,5.92,23.3,0.028,0.3,10.7,0.028,0.32,11.4,7.444,0.28152,11822.0554,591.10277,12076.9594,,,,,,,,,,,,,,,
HS-O-2,HS-O-2-3,1,30-60,10/6/23,HS,outside,O,2,6.24,5.63,22.5,,,,,,,6.19512,0.3124,,,,,,,,,,,,,,,,,,
HS-O-1,HS-O-1-1,1,0-15,10/6/23,HS,outside,O,1,6.53,5.86,59.4,0.157,1.9,12.1,,,,9.64568,4.47928,34791.2587,1739.562935,,29737.12328,,,,,,,,,,,,,,
HS-O-1,HS-O-1-2,1,15-30,10/6/23,HS,outside,O,1,6.69,5.89,24.3,0.039,0.43,11,,,,4.65712,0.43288,11166.1678,558.30839,,10339.49928,,,,,,,,,,,,,,
HS-O-1,HS-O-1-3,1,30-60,10/6/23,HS,outside,O,1,5.82,4.91,25,,,,,,,5.05048,0.24448,,,,,,,,,,,,,,,,,,
HS-O-1,HS-O-1-4,1,60-100,10/6/23,HS,outside,O,1,5.04,4,53.7,,,,,,,7.77872,0.488,,,,,,,,,,,,,,,,,,
HS-O-1,HS-O-1-5,1,100-150,10/6/23,HS,outside,O,1,4.73,3.88,15.8,,,,,,,4.81448,1.80872,,,,,,,,,,,,,,,,,,
HS-I-2,HS-I-2-1,1,0-15,10/6/23,HS,HS - 8,I,2,6.37,5.75,105.1,0.174,2.32,13.3,,,,4.97984,13.21384,,,,,,,,,,,,,,,,,,
HS-I-2,HS-I-2-2,1,15-30,10/6/23,HS,HS - 8,I,2,6.28,5.75,119.7,0.05,0.6,12,,,,5.054,13.08688,,,,,,,,,,,,,,,,,,
HS-I-2,HS-I-2-3,1,30-60,10/6/23,HS,HS - 8,I,2,5.71,5.15,63.2,,,,,,,6.17848,1.76216,,,,,,,,,,,,,,,,,,
HS-I-2,HS-I-2-4,1,60-100,10/6/23,HS,HS - 8,I,2,4.81,4.26,33.5,,,,,,,5.64544,2.04168,,,,,,,,,,,,,,,,,,
HS-I-1,HS-I-1-1,1,0-15,10/6/23,HS,HS - 15,I,1,6.23,5.83,267,0.284,3.84,13.5,,,,7.17392,33.3336,,,,,,,,,,,,,,,,,,
HS-I-1,HS-I-1-2,1,15-30,10/6/23,HS,HS - 15,I,1,5.97,5.43,116.4,0.096,1.17,12.2,,,,4.16648,15.31104,,,,,,,,,,,,,,,,,,
HS-I-1,HS-I-1-3,1,30-60,10/6/23,HS,HS - 15,I,1,5.32,4.68,67.2,,,,,,,6.25192,5.39072,,,,,,,,,,,,,,,,,,
HS-I-1,HS-I-1-4,1,60-100,10/6/23,HS,HS - 15,I,1,4.8,4.13,38.8,,,,,,,5.95896,9.5972,,,,,,,,,,,,,,,,,,
HS-I-1,HS-I-1-5,1,100-150,10/6/23,HS,HS - 15,I,1,4.36,3.96,87.6,,,,,,,5.31488,20.13264,,,,,,,,,,,,,,,,,,
HS-3-1,HS-3-1,2,0-15,10/27/23,HS,HS - 3,I,3,7.33,6.77,105.9,0.38,5.29,13.9,,,,,,53341.015,2667.05075,,,,,,,,,,,,,,,,
HS-3-2,HS-3-2,2,15-30,10/27/23,HS,HS - 3,I,3,7.25,6.64,85.2,0.148,1.97,13.3,,,,,,16218.7572,810.93786,,,,,,,,,,,,,,,,
HS-8-1,HS-8-1,2,0-15,10/27/23,HS,HS - 8,I,3,7.22,6.63,109.4,0.345,5.48,15.9,,,,,,,,,,,,,,,,,,,,,,,
HS-8-2,HS-8-2,2,15-30,10/27/23,HS,HS - 8,I,3,6.67,5.94,62.9,0.087,1.07,12.3,,,,,,,,,,,,,,,,,,,,,,,
HS-13-1,HS-13-1,2,0-15,10/27/23,HS,HS - 13,I,3,6.58,6.12,121.9,0.201,2.7,13.4,,,,,,31534.3699,1576.718495,,33365.73808,,,,,,,,,,,,,,
HS-13-2,HS-13-2,2,15-30,10/27/23,HS,HS - 13,I,3,6.12,5.5,69.5,0.11,1.28,11.6,,,,,,15511.1045,775.555225,15299.7302,,,,,,,,,,,,,,,
HS-18-1,HS-18-1,2,0-15,10/27/23,HS,HS - 18,I,3,7.27,6.72,95.6,0.282,3.72,13.2,,,,,,,,,,,,,,,,,,,,,,,
HS-18-2,HS-18-2,2,15-30,10/27/23,HS,HS - 18,I,3,6.55,5.93,62,0.092,1.06,11.5,,,,,,,,,,,,,,,,,,,,,,,
HS-23-1,HS-23-1,2,0-15,10/27/23,HS,HS - 23,I,3,6.15,5.72,312,0.127,1.61,12.7,,,,,,19690.5497,984.527485,,,,,,,,,,,,,,,,
HS-23-2,HS-23-2,2,15-30,10/27/23,HS,HS - 23,I,3,6.07,5.49,136.1,0.044,0.46,10.5,,,,,,10929.8914,546.49457,,,,,,,,,,,,,,,,
HN-2-1,HN-2-1,2,0-15,10/27/23,HN,HN - 2,I,3,7.45,7.01,163.7,0.434,6.61,15.2,,,,,,42268.5734,2113.42867,42386.4175,37959.30712,,,,,,,,,,,,,,
HN-2-2,HN-2-2,2,15-30,10/27/23,HN,HN - 2,I,3,7.52,6.9,86,0.111,1.72,15.5,,,,,,17365.6291,868.281455,17459.1593,,,,,,,,,,,,,,,
HN-7-1,HN-7-1,2,0-15,10/27/23,HN,HN - 7,I,3,7.44,7,157.3,0.401,5.8,14.5,,,,,,,,,,,,,,,,,,,,,,,
HN-7-2,HN-7-2,2,15-30,10/27/23,HN,HN - 7,I,3,7.5,6.95,103.4,0.128,1.73,13.5,,,,,,,,,,,,,,,,,,,,,,,
HN-12-1,HN-12-1,2,0-15,10/27/23,HN,HN - 12,I,3,7.44,7.02,168.8,0.473,6.87,14.5,0.487,7.24,14.9,,,45133.8905,2256.694525,,,,,,,,,,,,,,,,
HN-12-2,HN-12-2,2,15-30,10/27/23,HN,HN - 12,I,3,7.51,6.99,112.7,0.28,4.02,14.4,,,,,,27277.6692,1363.88346,,15699.84928,,,,,,,,,,,,,,
HN-17-1,HN-17-1,2,0-15,10/27/23,HN,HN - 17,I,3,7.42,6.94,130.6,0.409,5.28,12.9,,,,,,,,,,,,,,,,,,,,,,,
HN-17-2,HN-17-2,2,15-30,10/27/23,HN,HN - 17,I,3,7.5,6.94,91.9,0.259,3.36,13,,,,,,,,,,,,,,,,,,,,,,,
HN-22-1,HN-22-1,2,0-15,10/27/23,HN,HN - 22,I,3,7.63,7.13,129.5,0.31,4.49,14.5,,,,,,39250.1179,1962.505895,39345.805,,,,,,,,,,,,,,,
HN-22-2,HN-22-2,2,15-30,10/27/23,HN,HN - 22,I,3,7.7,7.08,87.1,0.158,2.13,13.5,,,,,,15468.5551,773.427755,15455.6138,36348.55616,,,,,,,,,,,,,,
RS-3-1,RS-3-1,2,0-15,11/3/23,RS,RS - 3,I,3,7.07,6.86,1330,0.544,7.11,13.1,0.672,8.82,13.1,,,30136.5156,1506.82578,,,,,,,,,,,,,,,,
RS-3-2,RS-3-2,2,15-30,11/3/23,RS,RS - 3,I,3,7.31,6.85,271,0.099,1.33,13.4,,,,,,13911.876,695.5938,,11292.40984,,,,,,,,,,,,,,
RS-8-1,RS-8-1,2,0-15,11/3/23,RS,RS - 8,I,3,7.55,7.03,111.2,0.311,4.37,14.1,0.363,4.95,13.6,,,,,,,,,,,,,,,,,,,,
RS-8-2,RS-8-2,2,15-30,11/3/23,RS,RS - 8,I,3,7.53,6.95,74.7,0.101,1.34,13.3,,,,,,,,,,,,,,,,,,,,,,,
RS-13-1,RS-13-1,2,0-15,11/3/23,RS,RS - 13,I,3,7.46,6.81,124.2,0.227,3.34,14.7,,,,,,6632.406,331.6203,,,,,,,,,,,,,,,,
RS-13-2,RS-13-2,2,15-30,11/3/23,RS,RS - 13,I,3,6.84,6.22,75.2,0.098,1.22,12.4,,,,,,13803.6398,690.18199,,,,,,,,,,,,,,,,
RS-18-1,RS-18-1,2,0-15,11/3/23,RS,RS - 18,I,3,7.37,6.8,109.7,0.31,4.22,13.6,,,,,,,,,,,,,,,,,,,,,,,
RS-18-2,RS-18-2,2,15-30,11/3/23,RS,RS - 18,I,3,6.88,6.39,122.3,0.092,1.14,12.4,,,,,,,,,,,,,,,,,,,,,,,
RS-23-1,RS-23-1,2,0-15,11/3/23,RS,RS -23,I,3,7.03,6.45,131.7,0.254,3.52,13.9,,,,,,38357.5618,1917.87809,,33198.03896,,,,,,,,,,,,,,
RS-23-2,RS-23-2,2,15-30,11/3/23,RS,RS - 23,I,3,7.28,6.41,76.2,0.102,1.34,13.1,,,,,,16620.9173,831.045865,,,,,,,,,,,,,,,,
RN-2-1,RN-2-1,2,0-15,11/3/23,RN,RN - 2,I,3,7.14,6.94,874,0.54,7.61,14.1,0.54,7.61,14.1,,,52972.7767,2648.638835,,,,,,,,,,,,,,,,
RN-2-2,RN-2-2,2,15-30,11/3/23,RN,RN - 2,I,3,7.37,6.99,398,0.138,3.31,24,,,,,,20189.5733,1009.478665,,,,,,,,,,,,,,,,
RN-8-1,RN-8-1,2,0-15,11/3/23,RN,RN - 7,I,3,7.44,7.02,222,0.451,5.87,13,,,,,,,,,,,,,,,,,,,,,,,
RN-8-2,RN-8-2,2,15-30,11/3/23,RN,RN - 7,I,3,7.48,6.97,152.4,0.26,3.51,13.5,,,,,,,,,,,,,,,,,,,,,,,
RN-12-1,RN-12-1,2,0-15,11/3/23,RN,RN - 12,I,3,7.49,7.06,228,0.418,6.42,15.4,,,,,,57912.8162,2895.64081,,53448.02704,,,,,,,,,,,,,,
RN-12-2,RN-12-2,2,15-30,11/3/23,RN,RN -12,I,3,7.51,7.01,164.7,0.242,3.76,15.5,,,,,,37719.1253,1885.956265,,,,,,,,,,,,,,,,
RN-17-1,RN-17-1,2,0-15,11/3/23,RN,RN - 17,I,3,7.44,6.97,283,0.446,6.59,14.8,,,,,,,,,,,,,,,,,,,,,,,
RN-17-2,RN-17-2,2,15-30,11/3/23,RN,RN - 17,I,3,7.47,6.94,174.2,0.203,2.92,14.4,,,,,,,,,,,,,,,,,,,,,,,
RN-22-1,RN-22-1,2,0-15,11/3/23,RN,RN - 22,I,3,7.25,6.85,305,0.471,6.13,13,,,,,,46815.4726,2340.77363,,,,,,,,,,,,,,,,
RN-22-2,RN-22-2,2,15-30,11/3/23,RN,RN - 22,I,3,7.32,6.81,163.7,0.135,1.7,12.6,,,,,,17335.2367,866.761835,,13058.99872,,,,,,,,,,,,,,
Compost,,,,,,,,,7.18,,1329,1.186,18.95,16,1.32,21.12,16,8.67888,28.56384,78053.1734,3902.65867,88865.4168,81818.74008,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
